date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.110001,18.6,17.75,18.16,729300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.07,18.450001,17.91,18.139999,831100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.459999,18.459999,17.969999,18.26,731300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.16,19.16,18.049999,18.91,1035500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.940001,18.940001,18.15,18.209999,787100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.93,18.309999,17.610001,18.280001,749700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.1,18.26,17.85,17.98,502700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.860001,17.889999,17.299999,17.68,567800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.870001,18.4,17.84,18.33,586000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.24,18.450001,17.9,18.440001,831700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.15,18.9,18.059999,18.25,779600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.27,18.5,17.940001,18.43,668200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.559999,18.629999,18.01,18.549999,579600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.74,18.959999,18.17,18.870001,1119400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.26,19.65,18.65,18.690001,717300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.799999,18.799999,17.99,18.01,731400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.209999,18.99,18.190001,18.98,886200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.15,20.93,19.08,20.08,1407300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.08,20.08,19.02,19.18,965100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.98,19.440001,18.620001,19.24,1076800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.18,19.74,18.950001,19.209999,1006900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.200001,19.59,19,19.200001,806300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.91,19.76,18.91,19.23,910700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.9,18.950001,18.459999,18.780001,1260900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.719999,19.059999,18.469999,18.74,1008900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.709999,18.709999,18.09,18.190001,877500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.01,18.6,18.01,18.459999,873600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.469999,18.700001,18.09,18.549999,650600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.639999,19.27,18.639999,19.139999,922100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.59,18.85,18.01,18.139999,1167100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.459999,18.790001,18.209999,18.77,715400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.700001,19.110001,18.23,18.440001,957000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.049999,17.360001,13.81,14.04,4967300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.91,15.55,13.69,14.39,2145100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.24,14.77,14.09,14.65,1291600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.57,14.85,14.06,14.42,1573200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.32,14.58,14.02,14.03,1248200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.04,14.67,13.92,14.55,1106400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.65,14.85,14.31,14.77,980000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.71,15.36,14.58,14.93,1142600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,15.58,14.9,15.3,1178500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.27,15.42,14.85,15.41,800800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.41,15.72,15.16,15.55,763600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.5,15.68,15.2,15.22,993900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.44,15.52,15.04,15.36,1392000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.54,15.84,15.36,15.53,955800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.7,15.99,15.58,15.93,740100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.95,16.110001,15.73,15.75,730000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.7,16.059999,15.5,15.72,616300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.72,16.190001,15.72,16.09,621000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.96,16,15.55,15.67,848400
