date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.799999,43.060001,40.459999,40.860001,1163300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.610001,40.610001,39.630001,39.740002,906100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.610001,40.290001,39.450001,39.779999,793300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.450001,40.299999,39.369999,39.689999,642300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.619999,39.834999,39.139999,39.209999,594800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.990002,39.59,38.619999,39.349998,748400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.279999,39.932999,39.139999,39.799999,492800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.849998,40.040001,39.380001,39.860001,438600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.040001,40.34,39.369999,39.52,423600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.23,39.259998,38.459999,39.029999,723300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.5,39.240002,38.200001,38.799999,460200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.959999,39.150002,38.5,39.099998,680300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.849998,40.450001,39.16,40.200001,1228600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.580002,41.970001,40.330002,40.59,528400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.73,40.939999,40.279999,40.700001,411800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.150002,41.150002,40.369999,40.740002,604400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.23,41.740002,40.389999,41.490002,851600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.41,42.400002,41.314999,42.02,456500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.060001,42.689999,42.02,42.189999,499800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.169998,42.77,41.904999,42.27,621700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.959999,42.32,40.25,41.630001,594300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.889999,42.380001,40.98,41.98,455300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.779999,42.650002,41.650002,42.119999,541100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.900002,42.365002,41.549999,41.950001,615300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.139999,42.571999,41.93,42.419998,484600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.560001,43.639999,41.900002,43.099998,805200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.369999,44.240002,43.099998,43.43,647400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.57,44.66,43.369999,44.529999,961800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.299999,45.740002,44.189999,45.400002,1280900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.060001,45.400002,41.002998,43.18,1493700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.419998,44.509998,42.349998,43.639999,1395500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.25,44.408001,42.43,43.290001,878100
