date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.08,10.31,9.88,10.29,25000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.28,10.53,9.66,10.06,71400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.15,10.72,10.05,10.6,63700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.6,10.9,10.59,10.74,40000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.88,10.19,10.39,37500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.25,10.84,10.21,10.76,23800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.84,11.18,10.63,11.09,43100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.2,10.91,11.02,37600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.11,11.15,10.89,11.15,27400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.15,11.67,11.08,11.46,109500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.5,11.5,10.75,11.07,52500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.18,11.69,11.08,11.52,53900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.6,12.04,11.5,11.78,77200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.93,12.25,11.91,12.01,59200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.25,12.25,11.9,11.91,18000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.39,11.76,11.84,121300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.07,12.33,12.03,12.32,54300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.31,12.31,12,12.22,30900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.08,12.4,12.05,12.36,51100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.4,12.75,11.35,12.14,139700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.21,11.93,12.13,28700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.27,12.53,11.82,12.07,44000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,12.5,11.9,12.5,48900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.45,12.45,11.89,12.39,54800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.4,12.43,12.24,12.35,49500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.35,12.49,12.12,12.4,39800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.43,12.43,11.93,12.14,93400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.22,12.34,12.1,12.22,72100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.18,12.24,11.8,12,54900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.91,12.06,11.66,11.87,71300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.77,12.11,11.77,12.1,136700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.12,12.52,11.76,12.36,151400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.34,12.45,11.97,12.42,191700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.42,13.27,12.35,13.25,168800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.4,13.41,12.9,13.41,53900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.42,14.39,13.4,14.24,128400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.39,15.17,14.15,15,149300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.23,15.52,15,15.22,100200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.42,15.98,15.3,15.85,150000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.01,16.01,14.61,14.69,101300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.88,15.47,14.78,15.03,74100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.1,15.1,14.54,14.68,55400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.85,14.99,14.47,14.89,79400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.9,14.96,14.11,14.49,93300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.55,14.6,14.03,14.13,73000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.15,14.3,13.69,13.88,54100
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.97,14.6,13.97,14.47,62300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.48,14.7,14.03,14.22,53300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.15,14.53,14.1,14.53,65500
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.53,14.74,14.33,14.44,36000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.42,14.47,14.2,14.41,36000
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.37,14.48,14.03,14.38,59200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.41,14.48,14,14,28100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.93,14.7,13.77,14.5,64700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.46,14.95,14.05,14.95,69300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.8,15.42,14.77,15.29,68600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.09,17.200001,15.58,17.16,218800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.049999,17.32,15.2,15.85,280000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.68,16.309999,15.68,16.25,86500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.4,16.610001,16,16.030001,80500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.01,16.51,15.66,15.85,351500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.9,16.360001,15.7,16.26,47900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.41,16.49,15.78,16.49,47400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.58,16.75,16.219999,16.32,40700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.35,16.82,16.32,16.370001,51200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.98,17.93,16.709999,17.65,119600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.75,17.860001,16.65,16.959999,97600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17,17.5,16.459999,17.389999,80000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.309999,17.549999,17,17.33,63400
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.16,17.309999,16.870001,17.08,61200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.049999,17.049999,16.030001,16.290001,43900
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.030001,16.370001,15.23,15.62,121300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.5,15.81,15,15.21,68900
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.03,15.3,14.55,15.1,54300
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.13,15.3,14.88,15.12,36300
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.98,15.29,14.98,15.17,38200
