date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.400002,63.040001,62.23,62.970001,471200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.889999,62.889999,61.689999,61.700001,557600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.619999,62.310001,61.07,62.029999,519500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.439999,62.450001,61.009998,61.810001,315500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.040001,62.959999,62.040001,62.860001,311100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.16,63.240002,62.02,62.619999,430000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.779999,63.419998,62.389999,63.16,472700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.91,63.02,62.369999,62.669998,385500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.549999,63.549999,62.419998,62.869999,217100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.279999,62.84,61.830002,62.16,444600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.200001,62.07,60.939999,61.970001,1243400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.02,62.169998,60.84,61.349998,372600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.66,62.639999,61.380001,62.150002,514600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.66,63,62.330002,62.450001,520800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.799999,62.939999,61.419998,61.439999,513100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.110001,62.150002,59.759998,59.799999,757300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.439999,60.740002,60.029999,60.240002,399500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.799999,60.900002,60.169998,60.360001,459200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.490002,60.599998,60.099998,60.450001,355800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.18,60.709999,59.619999,60.240002,578500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.48,61.25,59.52,59.73,629900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.689999,61.43,59.02,61.41,497900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.57,61.419998,60.09,61.080002,379000
