date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.610001,56.169998,53.5,55.529999,3122900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.529999,55.700001,54.599998,54.610001,2804600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.669998,54.880001,53.919998,54.16,2426300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.959999,55.290001,53.860001,54.919998,3627600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.860001,55.509998,54.689999,54.900002,2251800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.84,55.43,54.669998,55.330002,1787800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.220001,55.400002,54.389999,54.5,1874500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.299999,54.459999,53.75,54.279999,1635200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.59,54.900002,54.130001,54.869999,2139900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55,55.040001,54.299999,54.630001,1524100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.25,54.939999,53.869999,54.310001,2203400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.110001,54.119999,53.040001,53.57,1815000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.68,53.68,52.599998,53.099998,2089100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.009998,53.049999,52.139999,52.549999,1856500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.84,53.470001,52.580002,53.360001,1863100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.380001,53.669998,53.040001,53.18,2727300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.889999,54.130001,53.23,54.040001,1551300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.32,55.470001,54.27,54.990002,1844500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.099998,55.139999,54.52,54.66,1491000
