date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.5,4.376,4.42,125700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.497,4.373,4.41,52800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.48,4.31,4.39,98300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.38,4.51,4.32,4.39,171200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.31,4.4,4.154,4.38,102600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.36,4.36,4.2,4.2,40800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.29,4.11,4.14,60700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.13,4.16,4.069,4.12,51600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.21,4.22,4.05,4.07,40500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.083,3.95,3.95,45600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.91,4,3.87,3.89,64300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.89,3.89,3.67,3.77,60200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.81,3.82,3.76,3.81,69300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.84,3.72,3.73,80700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.92,3.732,3.86,91400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.84,3.9,3.73,3.8,117600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.83,3.71,3.78,101800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.84,3.73,3.8,39600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.78,3.81,3.69,3.79,53900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,3.8,3.69,3.77,65900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.71,3.74,3.5,3.51,66800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.56,3.63,3.47,3.5,67200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.537,3.33,3.33,60600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.27,3.33,3.2,3.25,68300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.25,3.52,3.22,3.46,54000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.5,3.42,3.48,45100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.49,3.75,3.49,3.75,42000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.79,3.843,3.75,3.79,70700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.78,3.849,3.73,3.77,57800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.7,3.74,3.37,3.405,57600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.61,3.326,3.6,40900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.815,3.55,3.78,56500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.77,3.8,3.636,3.71,57700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.67,3.816,3.58,3.59,33100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.56,3.7,3.52,3.6,47700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.58,3.75,3.56,3.68,42400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,3.79,3.565,3.73,45600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.73,3.8,3.68,3.79,36900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.79,3.8,3.73,3.78,47500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.74,3.74,3.68,3.71,25200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.74,3.74,3.58,3.64,42000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.8,3.53,3.74,62800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.69,3.75,3.62,3.73,40000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.7,3.73,3.61,3.68,31500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.69,3.82,3.46,3.51,72600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.69,3.48,3.59,38900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.66,3.75,3.56,3.75,41800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.74,3.8,3.66,3.71,37800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.65,3.77,3.59,3.65,40100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.62,3.77,3.56,3.64,35800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.65,3.65,3.5,3.55,31600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.43,3.74,3.43,3.56,206600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.61,3.72,3.55,3.63,31800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.63,3.785,3.63,3.74,34600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.68,3.81,3.64,3.8,44600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,3.95,3.76,3.91,67500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.9,3.96,3.66,3.71,41000
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.69,3.84,3.61,3.7,27900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.69,3.8,3.54,3.73,26800
