date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.73,8.82,8.61,8.68,4543400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.49,8.53,8.15,8.18,6183200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.11,7.92,7.94,6363000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,8.07,7.86,7.9,7222600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.95,8.23,7.9,8.2,6052900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.35,8.09,8.34,5201700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.34,8.46,8.22,8.37,5901700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.32,8.33,8.03,8.18,5703300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,8.38,7.91,7.92,7766700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,7.81,7.35,7.41,13703100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.27,7.44,7.19,7.42,7816600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.52,7.55,7.4,7.5,6712900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.55,7.55,7.28,7.51,6258900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.52,7.73,7.5,7.71,7536500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.91,7.62,7.78,6088300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,7.9,7.49,7.51,7307900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.61,7.74,7.53,7.59,5873100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.76,7.62,7.68,4893800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,7.8,7.58,7.78,5717700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.76,8,7.72,7.91,6364600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.88,7.91,7.59,7.62,10365000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.7,7.83,7.51,7.82,7771500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.68,7.82,7.55,7.75,6674200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.62,7.73,7.44,7.69,7627700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,7.92,7.6,7.89,6488900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.88,7.67,7.7,8723700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.21,8.27,7.61,7.71,19425800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.79,8.2,7.66,8.09,15033900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.4,8.1,8.34,8462300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.02,8.09,7.82,7.98,7911500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.35,7.97,8.32,6539400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.34,8.44,8.25,8.26,5611300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.13,8.23,8.06,8.07,4534100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.96,8.15,7.9,8.14,5395100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,8.38,8.09,8.27,5930200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.29,8.43,8.22,8.4,5283500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.42,8.53,8.34,8.43,5209900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.39,8.57,8.34,8.53,5975900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.64,8.91,8.61,8.89,6081700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,9.05,8.74,9,6736400
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.06,9.08,8.9,8.96,5325400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.96,9.04,8.84,8.89,7854600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.89,9,8.66,8.83,5125300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,8.85,8.62,8.66,4746500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.68,8.74,8.5,8.61,4510500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.65,8.69,8.52,8.53,3816600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.61,8.7,8.37,8.44,5479200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.51,8.19,8.3,6436300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.28,8.04,8.09,6302400
