date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.130001,41.689999,40.560001,40.720001,6331300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.060001,40.560001,39.400002,39.529999,9730300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.709999,40.889999,39.599998,40.470001,6913800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.41,42.009998,40.279999,41.759998,7193900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.48,43.52,41.439999,42.919998,13003800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.529999,44.16,43.060001,43.540001,9334300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.68,44.5,43.43,44.259998,8337500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.060001,44.540001,43.41,44.509998,6750300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.57,42.639999,39.759998,39.779999,26539200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.290001,39.380001,38.099998,38.93,13383500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.459999,38.830002,37.68,37.880001,9483400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.049999,39.830002,37.880001,39.77,11183800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.720001,39.75,38.560001,38.82,9710800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.259998,39.490002,38.23,38.450001,17254400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.02,42.32,39.77,40.490002,30849100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.060001,41.349998,40.48,40.84,8524200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.09,43.099998,41.779999,42.959999,14659300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43,43.560001,42.32,42.549999,6921400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.5,42.869999,42.009998,42.09,7935200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.759998,42.18,41.57,41.66,5264200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.400002,42.459999,40.860001,41.380001,7855900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.689999,42.080002,40.369999,41.5,7493200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.32,41.540001,40.900002,41.369999,5737000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.759998,40.830002,39.98,40.009998,8629100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.860001,41.299999,39.709999,41.23,6553600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.23,41.639999,40.82,41.279999,6535000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.209999,41.66,40.439999,41.619999,7406100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.860001,43.040001,41.599998,42.330002,9216200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.150002,43.290001,42.09,43.02,7376600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.869999,42.380001,41.139999,41.619999,9501000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.869999,43.009998,41.700001,42.830002,7489300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.330002,43.689999,42.57,42.830002,6694600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.259998,42.540001,41.610001,41.990002,6977900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.68,43.720001,41.68,43.459999,12299000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.110001,44.110001,42.889999,44.049999,9333300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.450001,45.880001,44.389999,45.259998,9335800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.110001,45.779999,44.959999,45.509998,6576100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.470001,46.25,44.970001,44.970001,6694500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.389999,45.52,44.549999,44.900002,6902900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.43,45.130001,44.400002,44.759998,6146200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45,45.669998,44.93,45.490002,6997000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.610001,45.73,44.380001,44.84,7286700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.59,45.18,43.630001,44.139999,10628800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.73,44.029999,43.41,43.740002,6078300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.099998,44.830002,43.82,44.07,5927700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.09,44.720001,44.02,44.119999,5597200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.110001,44.509998,43.23,43.299999,7726700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.830002,43.07,42.529999,42.889999,7371000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.669998,42.799999,40.830002,42.169998,12149800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.91,43.330002,41.860001,43.040001,7885400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.91,43,41.990002,42.849998,7293500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.799999,43.689999,42.779999,43.619999,9149300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.619999,43.709999,42.5,43.549999,5685400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.630001,44.060001,43.330002,43.91,5175500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.639999,45.990002,43.41,45.98,8628300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.110001,46.689999,45.93,46.630001,5582800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.509998,46.790001,46.139999,46.470001,4989300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.049999,45.110001,43.540001,44.889999,13422400
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.029999,45.900002,44.849998,45.419998,8598600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.689999,47.48,45.619999,47.240002,10931200
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.18,48,47.110001,47.880001,7587800
