date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.25,0.25,0.24,0.25,133900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.24,0.25,0.24,0.25,90200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.25,0.25,0.24,0.25,86400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.25,0.25,0.25,0.25,126300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.24,0.25,0.24,0.25,81200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.25,0.25,0.24,0.25,123300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.24,0.25,0.24,0.25,37200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.25,0.25,0.23,0.23,117800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.24,0.25,0.23,0.25,236900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.26,0.26,0.24,0.25,98900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.26,0.26,0.24,0.24,214200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.24,0.24,0.23,0.23,141000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.23,0.25,0.23,0.24,150100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.23,0.24,0.21,0.23,234400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.23,0.24,0.21,0.23,422300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.25,0.25,0.22,0.23,173400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.22,0.23,0.22,0.23,61100
