date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.35,8.03,8.07,30600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.25,7.99,8.09,15800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,8,7.71,7.81,44900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.98,7.56,7.56,30900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.52,7.53,7.13,7.36,41100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.36,7.44,7.25,7.36,24700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.52,7.32,7.49,19100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.48,7.64,7.41,7.58,20700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.58,7.92,7.53,7.87,22500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,7.91,7.68,7.8,22000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.81,7.67,7.72,7600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.79,7.66,7.78,11300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.87,8.12,7.79,7.98,32000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.13,8.3,8.04,8.27,54300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.21,8.46,8.19,8.28,43000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.41,8.41,8.21,8.21,6900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.31,8.07,8.2,17700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.22,8.07,8.18,10900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.09,8.2,8.09,8.14,3800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.06,8.22,8.05,8.05,2600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,8.18,8.05,8.05,5400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.08,8.12,7.86,8.12,10000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.97,8.12,7.82,7.97,26400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,8.03,7.81,7.81,5800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.82,7.3,7.3,52600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.3,7.38,7.14,7.15,28800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.18,7.33,7.18,7.19,5200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.18,7.39,7.18,7.39,3000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,7.6,7.43,7.55,24000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,7.67,7.16,7.18,20500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.17,7.49,7.17,7.49,11700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.58,7.41,7.51,8800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.55,7.55,7.4,7.4,2000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.6,7.45,7.6,22400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.47,7.53,7.29,7.36,10400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.31,7.46,7.26,7.46,11200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.41,7.6,7.41,7.6,8100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.63,7.69,7.6,7.6,3400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.6,7.71,7.43,7.52,2200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.56,7.64,7.4,7.44,11000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.41,7.62,7.36,7.53,17300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,7.52,7.36,7.4,8300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.36,7.55,7.36,7.37,5600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.36,7.5,7.36,7.43,6200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.41,7.48,7.36,7.48,6200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.48,7.56,7.41,7.5,7800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.54,7.67,7.37,7.62,8900
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.67,7.5,7.51,12100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.51,7.65,7.51,7.55,7400
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.59,7.59,7.5,7.55,5100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.57,7.57,7.5,7.5,1100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.57,7.6,7.5,7.57,16400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.66,7.53,7.55,6500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.63,7.65,7.56,7.56,7400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.65,7.66,7.51,7.56,5700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.56,7.58,7.51,7.54,4800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.59,7.59,7.59,7.59,2000
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.61,7.61,7.3,7.35,23500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.29,7.39,7.29,7.35,11700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.53,7.11,7.53,45100
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.61,7.71,7.55,7.71,26800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.72,7.72,7.52,7.53,7900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.68,7.71,7.24,7.29,24300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.56,7.56,7.12,7.14,22300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.35,7.54,7.32,7.51,9800
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.44,7.44,7.26,7.35,15000
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.34,7.45,7.22,7.35,22200
