date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.53,14.57,13.9,13.94,814300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.77,13.77,13.365,13.41,1223400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.41,13.44,12.92,12.94,1133700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.79,13.175,12.74,13.1,1086000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.06,13.37,12.99,13.24,1208000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.03,13.24,12.85,13.09,1064900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.33,13.465,12.86,13.38,920600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.37,13.71,13.22,13.59,840400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.77,13.823,13.31,13.59,733400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.57,13.895,13.28,13.33,1339800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.07,13.435,12.85,13.42,932700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.55,13.69,13.2,13.38,619500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.38,13.48,13.03,13.48,1162200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.54,14.064,13.53,13.85,588600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.93,14.235,13.855,14,528000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.2,14.31,14.04,14.23,788800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.35,14.56,14,14.15,669800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.58,14.5,13.562,14.37,471700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.45,14.48,14.195,14.44,580000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.33,14.33,13.78,13.84,445400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.82,14.04,13.55,13.59,537200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.75,13.93,13.61,13.92,467700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.96,14.3,13.69,14.12,635000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.93,13.96,13.68,13.82,795000
