date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.2,7.72,7.16,7.66,15600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,8.34,7.49,8.1,19600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.23,7.5,7.83,6800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8.2,7.89,7.89,9600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,7.99,7.89,7.89,3800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8.18,7.96,7.96,1000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.05,7.58,7.9,6600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.82,7.65,7.65,5900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.64,7.98,7.64,7.98,1500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.05,7.67,7.83,5000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.75,7.3,7.54,50800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.49,7.49,7.49,7.49,500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.65,7.65,7.4,7.54,11200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.4,7.62,7.39,7.39,1600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.4,7.47,7.26,7.33,4300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.4,7.52,7.3,7.37,3700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.5,7.5,7.5,500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.25,7.59,7.25,7.59,6300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.68,7.68,7.1,7.3,10900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.62,7.66,7.22,7.31,5000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.48,7.78,7.28,7.68,9400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,8.02,7.52,7.85,3200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.38,8.6,8.25,8.4,40800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.77,8.4,8.59,9200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,9.01,8.37,8.85,13700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.05,9.37,8.85,8.9,37200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.81,8.99,8.67,8.89,13400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.53,9.32,8.53,9.26,21100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.04,9.11,8.65,8.71,5400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.55,8.55,8.3,8.34,13700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.34,8.59,8.34,8.58,5900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.69,8.78,8.56,8.78,5400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.73,8.86,8.61,8.61,3800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.58,8.58,8.25,8.25,9300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.56,8.56,8.2,8.2,9900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.2,8.12,8.17,5200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.38,8.17,8.3,3800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.72,8.26,8.46,4900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.49,8.49,8.27,8.27,4500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.38,8.25,8.37,2800
