date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.549999,34.880001,33.700001,33.970001,623500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.900002,33.900002,32.599998,32.650002,511100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.73,32.889999,32.41,32.68,320700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.310001,33.18,31.209999,32.779999,352300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.689999,33.259998,32.509998,33,305900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.66,32.900002,32.470001,32.66,336600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.490002,33.209999,32.490002,33.130001,372100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.93,33.279999,32.439999,32.990002,362300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.549999,33.650002,32.34,32.540001,320800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.200001,32.419998,31.92,32.299999,305000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.809999,32.27,31.709999,32.16,301600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.52,32.740002,31.790001,32.369999,258600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.560001,32.650002,31.84,32.57,213500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.740002,33.73,32.57,33.669998,288700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.919998,34.240002,33.439999,33.889999,359300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.119999,34.119999,33.310001,33.560001,316900
