date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.959999,24.24,22.959999,24.219999,356800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.780001,24.620001,23.780001,24.25,113700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.370001,24.610001,24.219999,24.43,267800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,25.120001,24.530001,24.57,172400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.5,24.889999,24.219999,24.559999,104400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.559999,24.700001,24.33,24.59,203500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,24.74,24.01,24.030001,148500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.059999,24.309999,23.690001,23.790001,924100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.07,24.33,23.41,23.91,375800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.299999,25.09,24.120001,24.540001,480500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.120001,24.93,24,24.93,378300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.76,25.24,24.51,25.16,467000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.440001,24.83,24.200001,24.719999,278200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.65,25.950001,24.459999,25.92,573400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.879999,26.24,25.57,25.68,488400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.879999,26.93,25.620001,26.01,1055700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.27,26.65,25.84,26.299999,612500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.299999,26.74,25.99,26.190001,387700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.23,26.35,25.5,26.09,534300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.02,26.299999,25.6,25.66,265800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.809999,26.09,24.82,24.950001,566700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.82,25.67,24.799999,25.610001,467500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.540001,25.82,25.23,25.33,716700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.219999,25.4,25,25.02,325800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.040001,25.32,24.780001,24.84,659000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.940001,25.049999,24.34,24.41,363800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.5,24,24.5,5175400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.68,24.690001,24.01,24.16,199200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.200001,24.49,23.82,23.889999,317300
