date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.173,0.174,0.162,0.174,1002600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.17,0.17,0.162,0.162,1078100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.164,0.167,0.161,0.163,9218900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.134,0.145,0.125,0.141,7696300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.139,0.14,0.13,0.14,1129800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.135,0.139,0.133,0.134,1070900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.132,0.135,0.127,0.135,995000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.134,0.134,0.125,0.13,686300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.129,0.135,0.125,0.126,1258100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.126,0.132,0.114,0.13,1958600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.122,0.13,0.12,0.13,661300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.128,0.13,0.121,0.129,550800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.128,0.135,0.125,0.13,1054200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.133,0.134,0.122,0.132,486400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.129,0.133,0.124,0.129,418800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.128,0.135,0.125,0.133,494500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.134,0.144,0.126,0.141,1621000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.14,0.15,0.135,0.145,1072700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.144,0.148,0.135,0.148,679300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.145,0.158,0.142,0.157,1530900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.155,0.169,0.145,0.158,1287300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.163,0.163,0.143,0.148,928000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.146,0.154,0.142,0.148,330900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.147,0.147,0.133,0.135,403000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.135,0.144,0.13,0.14,625400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.146,0.146,0.13,0.137,452200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.139,0.145,0.132,0.139,719900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.14,0.148,0.135,0.145,660400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.158,0.14,0.15,649300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.149,0.15,0.141,0.147,239400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.141,0.148,0.141,0.145,162500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.145,0.155,0.14,0.153,569700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.153,0.17,0.15,0.16,546500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.165,0.175,0.16,0.174,1312100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.177,0.177,0.155,0.159,859800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.155,0.16,0.151,0.158,266400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.155,0.17,0.147,0.169,667700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.17,0.17,0.151,0.158,277400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.167,0.167,0.158,0.165,346900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.16,0.165,0.155,0.163,292300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.164,0.165,0.15,0.152,485600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.156,0.158,0.148,0.155,407800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.152,0.158,0.15,0.155,421700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.155,0.155,0.147,0.152,373400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.148,0.16,0.148,0.158,353000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.153,0.16,0.153,0.158,142800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.159,0.163,0.151,0.154,336000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.158,0.16,0.149,0.154,128600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.16,0.16,0.151,0.154,260900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.151,0.159,0.15,0.153,347100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.15,0.152,0.14,0.142,714600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.415,0.923,0.333,0.442,544177600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.565,0.74,0.352,0.36,248379200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.415,0.46,0.315,0.386,60505500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.334,0.405,0.33,0.345,23104100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.355,0.38,0.27,0.285,22750200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.279,0.365,0.244,0.341,26458800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.318,0.357,0.3,0.309,10550200
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.292,0.303,0.263,0.28,9047400
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.365,0.404,0.28,0.281,129661900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.27,0.293,0.253,0.265,19936600
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.266,0.275,0.247,0.264,9661000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.257,0.285,0.235,0.265,14791200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.252,0.257,0.244,0.256,7674500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.252,0.268,0.241,0.251,6326300
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.249,0.257,0.234,0.239,4838300
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.238,0.238,0.201,0.206,7848600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.205,0.214,0.166,0.175,10064300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.198,0.21,0.175,0.182,19561300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.207,0.23,0.191,0.197,84609900
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.189,0.189,0.171,0.185,14199700
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.182,0.187,0.175,0.18,6841700
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.181,0.186,0.172,0.176,6348900
