date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.95,0.98,0.9,0.9,178400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,0.97,0.9,0.9,101800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,0.93,0.9,0.91,40700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.93,0.9,0.91,29800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,0.91,0.89,0.9,46000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.93,0.89,0.9,127400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,0.93,0.89,0.89,58500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.92,0.89,0.89,50600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.89,0.89,0.89,54700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.88,0.89,0.88,0.88,35700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.87,0.87,0.84,0.85,99600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.88,0.84,0.86,54100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.88,0.91,0.85,0.89,30900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.92,0.85,0.88,75700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.92,0.95,0.87,0.93,88300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,0.94,0.86,0.9,49900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.92,0.85,0.87,69700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.9,0.85,0.85,90600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.86,0.8,0.82,163700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.85,0.8,0.8,106300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.78,0.81,0.75,0.8,99300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.77,0.87,0.75,0.76,102100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.76,0.82,0.72,0.82,182300
