date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.61,10.61,10.42,10.51,13600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.28,10.41,9.86,9.93,22800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.04,10.04,9.52,9.73,58100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.65,9.94,9.44,9.51,45300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.55,10.55,9.55,10.47,60400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.99,11.31,10.55,10.85,124900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.97,10.97,9.2,9.51,84600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.55,9.88,8.5,8.8,73000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.86,8.93,8.28,8.34,42000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.21,8.41,7.83,8.28,86800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.24,8.68,8.04,8.44,38600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.57,8.86,8.56,8.78,39300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.9,8.9,8.5,8.8,36500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.41,8.7,8.4,8.62,57700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.75,8.76,8.53,8.63,38000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.64,8.78,8.33,8.35,38200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.51,8.63,8.21,8.58,46400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.83,8.52,8.69,13700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.69,9.07,8.61,8.95,20600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.9,8.98,8.62,8.74,16500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.8,8.31,8.35,12300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.45,8.46,8.08,8.33,26600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.3,8.48,8.19,8.19,14000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.78,8,8.49,53800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.58,8.73,8.27,8.48,33600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,8.62,8.22,8.23,14500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,8.5,8.23,8.49,18700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,9.1,8.37,9,25400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.94,9.24,8.5,8.67,65700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.42,8.75,8.15,8.18,53000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.22,8.88,8.07,8.77,40100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.69,9.22,8.69,9.2,39100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.14,9.18,8.87,8.91,21200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.77,8.92,8.35,8.48,38700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.34,8.61,8.19,8.55,22700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.51,8.69,8.51,8.57,17700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.5,8.57,8.26,8.38,12200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.29,9.22,8.29,9.21,58200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.21,9.21,8.8,8.96,18600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.93,9,8.49,8.57,20300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.64,8.78,8.5,8.5,17100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.78,8.2,8.22,20100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.4,8.08,8.28,29100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.18,8.19,7.71,7.71,23600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8,7.71,7.71,17700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,7.99,7.68,7.9,41200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8.2,7.98,8.17,12800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.1,8.34,7.55,7.55,76900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.56,8.07,7.56,8,19300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.27,7.89,8.14,26100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.24,8.46,8.06,8.06,41600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.31,7.99,7.99,113700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.52,7.99,8.34,76000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.38,8.14,8.18,17500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.2,7.99,8.17,28700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.39,7.99,8.26,33600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.3,8.3,7.99,8.01,34700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.15,7.99,8.03,63100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.36,7.99,8.18,44600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.34,8,8.26,20300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.22,8.08,8.16,10200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.12,8.27,8.07,8.07,19600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.99,8.13,7.99,8.12,28800
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8,8.4,8,8.31,21600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.34,8.38,8.05,8.2,15900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.12,8.36,8.12,8.29,17600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.28,8.37,8.05,8.1,17600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.07,8.36,8.07,8.21,11300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.05,8.22,7.99,8.19,27700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.17,8.17,8,8.03,11300
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.01,8.19,7.91,7.91,17100
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.96,8.03,7.25,7.31,23200
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.31,7.52,7.31,7.37,8300
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.4,7.61,7.16,7.2,10700
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.17,7.51,7.17,7.28,27200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.23,7.34,6.84,6.89,27800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.88,7.1,6.82,6.83,19100
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.99,7.15,6.88,7.01,40200
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.02,7.08,6.93,7.02,11300
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.87,7.11,6.34,6.56,64800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.69,6.84,6.3,6.42,45400
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.48,6.52,6.16,6.52,71100
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.33,6.33,5.89,5.9,45600
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.96,6.41,5.8,5.98,58900
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.06,6.2,5.76,5.95,71000
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.11,6.3,6.01,6.15,34300
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.16,6.3,5.82,6,54500
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.99,6.07,5.65,5.65,48300
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.7,5.7,5.08,5.13,81100
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.08,5.58,5.04,5.47,76900
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.47,6,5.47,5.94,98100
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.9,6.35,5.9,6.07,55700
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.06,6.23,5.83,5.95,52000
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.84,5.84,4.45,4.53,190800
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.61,4.68,3.96,4,255900
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.05,4.25,3.95,4,182200
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.1,4.11,3.73,3.75,124800
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.75,3.89,3.61,3.75,237700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.76,3.87,3.68,3.8,120200
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.76,4.02,3.71,3.74,120200
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.77,3.85,3.73,3.84,102100
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.85,3.9,3.71,3.72,77100
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.7,3.79,3.63,3.66,69000
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.67,3.77,3.6,3.63,57200
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.7,3.78,3.65,3.69,115300
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.73,3.79,3.38,3.41,324500
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.4,3.56,3.4,3.49,129700
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.46,3.63,3.34,3.61,69100
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.55,3.86,3.55,3.77,199800
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.77,3.77,3.55,3.6,52600
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.6,3.66,3.56,3.59,67900
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.6,3.87,3.6,3.79,168500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.82,3.92,3.67,3.68,76400
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.74,3.74,3.53,3.69,63900
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.53,3.64,3.44,3.46,159800
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.5,3.66,3.48,3.52,128500
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.48,3.6,3.44,3.44,58100
