date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.17,4.09,4.14,675400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.14,4.13,4.14,513200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.15,4.16,4.12,4.13,709200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.14,4.11,4.13,380600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.15,4.21,4.14,4.15,953500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.15,4.15,4.09,4.1,1214300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.12,4.07,4.11,937500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.12,4.07,4.08,979700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.11,4.07,4.08,842900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.07,4.01,4.04,1000400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.02,4.04,4.01,4.03,814700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.07,4.03,4.06,868200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.07,4.02,4.07,2017500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.08,4.05,4.07,502100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.09,4.05,4.07,593100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.1,4.05,4.08,689900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.1,4.05,4.09,542800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.11,4.04,4.07,917300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.09,4.09,4.04,4.05,566500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.08,4.05,4.06,608800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.08,4.11,4.07,4.11,978900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.11,4.08,4.1,464600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.09,4.1,4.07,4.08,666200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.12,4.08,4.12,955800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.12,4.16,4.11,4.16,619500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.15,4.19,4.14,4.18,822800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.18,4.15,4.18,408700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.17,4.19,4.16,4.16,376200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.15,4.2,4.15,4.2,446700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.19,4.14,4.19,644400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.22,4.18,4.21,675900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.18,4.11,4.11,638300
