date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.88,6.15,5.78,6.01,604918
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.9,5.93,5.6501,5.75,593283
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.72,5.43,5.44,358186
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.38,5.38,5.14,5.17,623790
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.14,5.185,4.82,5.07,674392
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.02,4.86,4.89,592763
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.89,4.91,4.72,4.78,479246
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.74,4.375,4.425,526400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.49,4.53,4.21,4.235,523049
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.22,4.25,4.11,4.12,403991
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.09,4.32,4.01,4.3,524729
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.35,4.59,4.2178,4.35,793090
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.35,4.515,4.16,4.47,1341707
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.8284,4.47,4.66,680288
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.85,4.605,4.65,526221
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.73,4.75,4.57,4.63,387350
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.6818,4.46,4.49,326201
