date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.130001,57.66,55.900002,56.720001,389600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.310001,56.810001,55.419998,55.639999,444100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.400002,55.59,54.32,54.939999,323100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.599998,55.689999,54.57,55.299999,325500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.529999,56.09,55.169998,56.080002,258600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.189999,55.52,54.259998,54.560001,317100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.419998,55.080002,54.029999,55.040001,216800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.919998,55.130001,53.799999,54.400002,292900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.459999,55.299999,53.73,54.23,210500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.5,53.860001,52.860001,53.040001,202400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.389999,53.23,52.279999,52.599998,242100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.060001,53.709999,52.59,53.689999,187500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.900002,55.209999,53,55.200001,332600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.849998,54.169998,51.209999,53.91,556000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.619999,54.740002,53.5,54,316000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.59,54.639999,53.830002,54.299999,223100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.990002,55.75,54.169998,55.740002,269600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56,56.52,55.740002,56.5,235800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.610001,56.73,55.970001,56.619999,177600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.18,57.75,56.18,57.639999,223800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.869999,58.57,56.98,57.040001,227600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.779999,59.09,57.419998,58.970001,288700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.650002,59.150002,58.209999,58.759998,210500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58,58.200001,56.950001,57.630001,205400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.5,57.98,56.740002,57.130001,199200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.330002,58.59,57.25,57.779999,233900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.849998,58.689999,57.849998,58.189999,221400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),58.040001,63.869999,57.98,62.599998,911800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.369999,63.369999,62.25,62.740002,314200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.41,61.220001,58.709999,59.43,485900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.049999,60.23,58.259998,59.389999,301500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),59.709999,62.700001,59.709999,62.5,315800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.130001,63.09,61.759998,61.970001,168700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.029999,62.529999,60.759998,62.509998,231100
