date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.91,8.61,8.64,955300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.51,8.56,7.87,7.88,1291700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,7.85,7.58,7.72,1359900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,8.02,7.71,7.73,997400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.87,9.28,7.87,9.15,1835900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.03,9.17,8.88,8.93,1035700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.88,9.03,8.69,8.96,977500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.84,9.3,8.73,9.07,1205400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.15,9.22,8.92,8.94,731800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.79,8.9,8.54,8.59,710400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.38,8.38,8.07,8.14,917300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.28,7.88,8.18,922800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.31,7.99,8.24,1223700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.35,8.54,8.26,8.5,885700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,8.78,8.55,8.62,632100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.73,8.75,8.37,8.38,575800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.48,8.65,8.32,8.46,484500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.76,8.57,8.59,521500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.56,8.72,8.41,8.62,509800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.51,8.75,8.45,8.56,473300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.52,8.78,8.35,8.36,517300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.47,8.52,8.07,8.46,745200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.64,8.05,8.57,1204800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.43,8.76,8.3,8.65,938800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.61,9.01,8.49,8.72,1177000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.7,8.7,8.06,8.09,1114600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.13,8.63,8.13,8.63,761900
