date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.830002,95.68,90.68,94.599998,3013600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.690002,95.519997,92.339996,94.029999,2369100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.68,94.800003,93.139999,94.209999,1694100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94,96.529999,93.669998,95.650002,2534700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.410004,97.650002,94.540001,97.050003,1441700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),95.730003,96.510002,94.849998,95.260002,1803300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.919998,95,93.309998,93.629997,1683500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.650002,94.220001,91.650002,93.900002,1871000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.870003,96.360001,93.870003,94.110001,1913700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.419998,94.879997,93.099998,94.559998,1452300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.449997,92.739998,90.419998,91.160004,2588000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.699997,94.129997,91.639999,94.099998,2193200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.269997,94.269997,91.860001,94.230003,2050400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94,94,92,92.07,2248200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.010002,94.029999,92.300003,93.110001,1340200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.57,95.980003,94.120003,94.290001,2318700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.139999,96.970001,94.769997,96.410004,2568600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.129997,96.910004,95.279999,96.730003,1465200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.660004,97.330002,95.360001,97.059998,1261800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.059998,96.169998,94.5,94.989998,1388400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),94.550003,96.120003,93.360001,94.43,1583000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.25,98.5,96.040001,97.290001,1942200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.589996,97.529999,95.809998,96.970001,1225200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),96.690002,98.199997,95.769997,97.489998,1547900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),98.599998,100.360001,98.010002,100.059998,2488000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.599998,101.07,99.160004,99.830002,3627500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),104.260002,108.760002,103.919998,106.110001,6472400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),106.5,106.889999,104.260002,105.599998,2492000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105.599998,106.139999,104.510002,105.720001,1866300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.669998,104.959999,102.68,104.199997,1724400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105.199997,105.860001,104.190002,105.209999,1535800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105.279999,105.839996,104.730003,105.730003,1377300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),105,106.300003,104.5,105.129997,1255200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),104.419998,104.459999,100.349998,103.230003,2487300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.029999,103.769997,101.379997,102.379997,1217100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.550003,103.019997,101.919998,102.419998,1020300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.650002,104.589996,102.43,104.160004,1515700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),104.5,104.989998,102.940002,103.239998,1176800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),104.489998,104.690002,102.010002,102.690002,1536900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),101.849998,103.139999,101.620003,102.860001,1327500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103.93,105.349998,103.059998,105.199997,2241100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),103,103.110001,99.199997,101.209999,3760500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.93,101.150002,99.669998,99.730003,1875100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.239998,100.589996,98.099998,99.769997,1380000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.379997,100.839996,99.059998,99.139999,1125800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.160004,101.559998,99.160004,101.110001,1773500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.589996,102.050003,100.019997,100.43,1137600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.68,103.959999,100.68,103.230003,1943400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),104.209999,104.629997,102.889999,103.040001,1436800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.389999,103.769997,102.269997,102.330002,1138400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.889999,102.889999,100.160004,101,1882700
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.900002,101.309998,98.68,99.089996,4404600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.169998,100.019997,98.809998,98.839996,1528700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99,99.82,98.269997,99.75,1444100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.68,100.339996,98.870003,100.080002,1139000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.75,101.849998,99.919998,99.959999,1157200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100.620003,100.620003,99.580002,99.889999,899600
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),99.830002,100.900002,99.089996,99.410004,1238100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),100,100.989998,99.800003,100.580002,959100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),101.050003,101.860001,100.580002,101.790001,1090200
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),102.459999,102.879997,101.540001,102.230003,1018200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),102.980003,107.739998,102.82,106.559998,2954200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105.489998,105.589996,103.059998,105.260002,1716000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105,106.830002,104.349998,106.419998,1321500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),108.349998,110.379997,105.709999,106.120003,2412000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105.809998,108,105.650002,107.459999,1437600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),108.169998,108.5,105.910004,105.989998,1170100
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),105.980003,107.18,105.620003,106.489998,930300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),104.709999,105.379997,103.529999,104.239998,1449800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),104.43,105.519997,104.150002,104.860001,847500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),103.75,103.75,100.910004,101.18,1705600
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),101.25,102.57,98.779999,99.440002,1772200
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.760002,99.650002,98.099998,99.349998,1341300
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),99.589996,99.980003,96.980003,97.480003,1904000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.989998,97.989998,95.68,96.099998,1786200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.089996,97.089996,94.800003,94.989998,1165300
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.889999,98.010002,95.800003,97.480003,1695800
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.919998,99.480003,97.480003,98.82,1231800
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.480003,98.809998,96.190002,97.059998,1256700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.07,97.019997,96,96.599998,948900
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.169998,96.900002,95.25,95.879997,1420000
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.209999,98.650002,96.449997,96.980003,1588300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96,96.519997,91.589996,91.650002,2752900
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),91.650002,94.540001,91.349998,92.730003,1846900
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.730003,95.739998,93.18,95.269997,1873200
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.919998,97.110001,95.910004,96.709999,1323200
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.730003,98.68,97.029999,97.870003,1906700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.82,98.32,96.300003,97.230003,2967600
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.849998,97.959999,94.230003,95.75,4251400
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.160004,97.839996,95.669998,97.190002,2041400
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.699997,98,95.75,96.389999,1566400
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.160004,98.669998,97,97.989998,1750000
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.800003,98.419998,97.269997,98.040001,973400
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),98.690002,98.720001,97.260002,97.620003,1131500
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.349998,98.300003,97.07,97.110001,1171200
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.839996,97.470001,96.5,96.790001,1072600
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.099998,98.129997,97,97.660004,1182200
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),97.099998,97.989998,96.449997,96.589996,1403800
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.43,96.449997,94.93,95.480003,1319000
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),96.760002,96.760002,93.690002,94.089996,1465100
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.089996,94.889999,94.07,94.620003,1035400
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.389999,95.040001,93.209999,93.510002,1812400
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.339996,92.690002,91.610001,92.529999,2367700
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.519997,93.110001,91.849998,92.540001,1219100
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93.230003,94.949997,92.989998,94.879997,2004900
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),95.5,95.5,93.529999,94.910004,1197200
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),94.010002,94.470001,92.639999,92.919998,1522900
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),93,93.5,92.599998,93.360001,1335000
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.93,93.379997,92.379997,92.480003,1194600
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.480003,93.879997,92.010002,93.139999,1416200
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.389999,93.029999,91.599998,92.870003,1395500
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.790001,92.790001,91.010002,91.739998,2077500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),92.330002,92.760002,90.099998,90.830002,2048700
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),90.349998,91.150002,90.150002,90.489998,1627100
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.610001,89.989998,87.790001,88.800003,2688600
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),88.239998,88.910004,87.43,88.779999,1832700
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),88.489998,89.360001,88.290001,89.199997,1604400
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.080002,90.669998,89.050003,89.699997,2039500
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),90,90.190002,89.18,89.879997,5340300
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.769997,90.290001,88.720001,89.099998,1828400
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),88.720001,89.550003,88.18,88.300003,1489200
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),88,88.459999,87.669998,88.129997,1089700
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),88.099998,89.239998,87.720001,89.139999,1266600
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.400002,90.040001,89.199997,89.5,2199400
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),89.760002,89.760002,87.080002,87.669998,1896100
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),87.559998,88.110001,86.089996,86.330002,2233300
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),87.089996,89.059998,86.790001,87.279999,1556900
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),86.82,87.900002,86.220001,86.830002,1925200
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),87.050003,87.370003,85.169998,85.25,2239600
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),85.309998,86.019997,84.709999,84.760002,1830500
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),85,85,83.68,83.910004,1886400
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),84.25,85.830002,83.879997,84.610001,1701700
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),85.529999,86.5,84.860001,85.830002,1776200
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),85.809998,86.970001,84.290001,84.599998,1868800
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),84.650002,86.199997,83.230003,85.949997,2010500
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),85.489998,85.870003,84.239998,84.919998,2042200
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),84.449997,85.059998,83.190002,83.480003,2317600
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.480003,83.75,82.190002,83.43,2150800
Mon Jul 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.959999,84.440002,82.589996,83.540001,1641600
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.230003,83.309998,82.550003,83.269997,1569900
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.459999,83.75,81.870003,81.870003,363030
