date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.71,10.71,10.71,0
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.71,10.71,10.71,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.75,10.74,10.74,5900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.749,10.75,10.749,10.749,1300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.749,10.749,10.749,10.749,300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.75,10.75,10.75,300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.749,10.749,10.749,10.749,500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.75,10.75,10.75,1000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.75,10.75,10.75,500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.75,10.73,10.73,700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.75,10.74,10.74,5300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.76,10.75,10.75,57600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.77,10.75,10.77,52200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.8,10.78,10.8,4400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,10.8,10.79,10.79,400200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,10.85,10.79,10.85,131600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,10.8,10.79,10.8,1300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,10.79,10.79,10.79,100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,10.79,10.79,10.79,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.85,10.82,10.85,4300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,10.85,10.85,10.85,1700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.82,10.82,10.82,100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.85,10.82,10.85,1200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,10.86,10.85,10.86,1500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.82,10.82,10.82,300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.82,10.82,10.82,1600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.82,10.82,10.82,0
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,10.86,10.85,10.86,17200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,10.85,10.85,10.85,50100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.86,10.86,10.859,10.86,500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.855,10.855,10.85,10.85,700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,10.859,10.85,10.85,10300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.851,10.851,10.851,10.851,300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.86,10.86,10.86,10.86,200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.86,10.86,10.86,10.86,200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.86,10.87,10.86,10.87,5100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.87,10.87,10.87,10.87,0
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.85,10.85,10.85,10.85,500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.86,10.86,10.85,10.85,4200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.87,10.87,10.86,10.86,200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.87,10.88,10.87,10.87,8000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.87,10.87,10.87,10.87,0
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.87,10.87,10.87,10.87,0
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.87,10.87,10.87,10.87,0
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.88,10.889,10.88,10.889,2800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.9,10.9,10.87,10.9,112900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.873,10.885,10.87,10.873,8800
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.873,10.873,10.873,10.873,0
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.878,10.9,10.878,10.9,400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.91,10.93,10.91,10.92,46200
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.92,10.93,10.92,10.92,2100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.93,10.935,10.93,10.93,1600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.94,10.94,10.93,10.93,1100
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.938,10.94,10.938,10.94,2500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.95,10.95,10.95,3100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.95,10.93,10.95,103600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.95,10.95,10.95,0
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.955,10.95,10.95,2300
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.95,10.95,10.95,0
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.96,10.96,10.96,10.96,5200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.96,11,10.95,10.98,16900
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.98,10.98,10.98,10.98,100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.98,10.98,10.98,10.98,0
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.98,10.98,10.98,10.98,0
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.98,10.98,10.98,10.98,500
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.98,10.98,10.98,10.98,0
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.95,10.95,10.95,1100
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,11.05,10.95,11.05,800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11,11,11,11,100
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.97,11,10.95,11,4400
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,11.1,10.95,11.09,1200
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.09,11.09,11.09,11.09,0
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,200
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,0
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,0
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.089,11.089,10.95,10.95,1000
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,11.1,10.95,11.02,800
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.02,11.02,11.02,11.02,0
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.02,11.02,11.02,11.02,0
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.02,11.02,11.02,11.02,0
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.02,11.02,11.02,11.02,0
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.02,11.02,11.02,11.02,0
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.02,11.02,11.02,11.02,0
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,1000
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,0
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,0
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.94,11.1,10.94,11.1,500
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.1,11.1,11.1,11.1,0
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.94,10.96,10.94,10.96,200
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.04,11.04,10.94,10.94,800
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,11.05,11.05,100
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,11.05,11.05,0
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,11.05,11.05,100
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,11.05,11.05,100
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,11.05,11.05,100
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,11.05,11.05,0
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.05,11.05,10.95,10.95,5900
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.95,10.95,10.95,10.95,0
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11.01,11.03,11,11,10900
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11,11,11,11,0
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11,11,11,11,0
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),11,11,11,11,0
