date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.62,1.65,1.581,1.61,49800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.579,1.62,1.57,1.58,60700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.56,1.49,1.5,195900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.548,1.45,1.53,103800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.578,1.511,1.559,55200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.56,1.57,1.535,1.56,66000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.56,1.51,1.52,40700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.555,1.5,1.51,76700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.511,1.53,1.5,1.505,138500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.53,1.48,1.52,109600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.552,1.48,1.5,116000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.51,1.48,1.48,23100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.54,1.48,1.51,58400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.53,1.49,1.505,29100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.54,1.5,1.51,60800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.54,1.52,1.52,52200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.543,1.56,1.5,1.51,57300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.49,1.55,1.49,1.52,20100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.551,1.499,1.525,22600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.51,1.49,1.5,12500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.49,1.529,1.49,1.51,17300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.52,1.49,1.49,33200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.51,1.48,1.48,38100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.488,1.46,1.46,34600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.52,1.47,1.475,66000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.49,1.47,1.49,37500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.49,1.45,1.47,71300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.47,1.49,25500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.515,1.48,1.49,75300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.481,1.46,1.468,62000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.49,1.45,1.48,48800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.474,1.49,1.45,1.47,104800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.5,1.45,1.49,41800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.5,1.457,1.47,34000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.47,1.49,38100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.5,1.473,1.485,48800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.47,1.49,52800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.47,1.5,48400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.54,1.48,1.51,46900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.52,1.48,1.48,46200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.51,1.48,1.486,27900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.53,1.49,1.52,39200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.518,1.52,1.45,1.47,41200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.49,1.45,1.47,58900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.51,1.47,1.48,32500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.51,1.46,1.48,61800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.475,1.513,1.475,1.49,33700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.58,1.48,1.54,119000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.56,1.64,1.56,1.63,104900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.679,1.6,1.63,91000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.64,1.67,1.521,1.54,128800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.56,1.5,1.515,56400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.512,1.54,1.45,1.5,121100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.5,1.45,1.47,89000
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.53,1.45,1.511,93300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.52,1.46,1.48,52200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.49,1.49,1.45,1.48,48200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.53,1.46,1.47,85600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.5,1.47,1.48,38600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.51,1.46,1.487,32800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.521,1.47,1.49,30200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.5,1.54,1.47,1.52,53600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.52,1.52,1.49,1.51,56500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.51,1.51,1.47,1.485,43300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.48,1.51,1.47,1.505,68200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.51,1.482,1.51,43800
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.515,1.49,1.49,38800
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.5,1.515,1.5,1.5,72300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.5,1.54,1.5,1.52,78100
