date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.87,8.24,7.63,8,16200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.139,7.79,8.11,9500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.09,8.14,7.856,7.93,2200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.04,8.04,7.67,7.73,4300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.96,7.634,7.96,5500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.93,7.58,7.61,7000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.54,7.72,7.118,7.18,9700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.365,8.686,6.98,8.49,48200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.78,9.676,8.6,9.36,47200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.53,9.75,9.07,9.18,12900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.12,9.334,8.11,8.605,18500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.645,8.16,8.33,15400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.27,8.27,7.47,7.98,24600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.08,8.08,7.71,7.95,6900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.13,8.69,8.02,8.02,20500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.37,8.45,7.945,8,12100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,8.25,7.92,8.14,9700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.5,7.79,7.98,42800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8.29,7.98,8.23,8400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,8.23,8.1,8.1,5000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.18,7.78,8.18,11100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.2,8.01,8.15,3300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,8.19,7.85,8.14,9100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.13,8.13,7.54,7.71,10500
