date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.14,1.24,1.12,1.21,98900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.22,1.16,1.2,46500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.19,1.31,1.19,1.28,524900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.28,1.3,1.19,1.19,174900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.21,1.15,1.16,40500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.19,1.2,1.11,1.2,95800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.21,1.14,1.18,47800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.17,1.09,1.14,119800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.16,1.1,1.12,46700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.13,1.04,1.09,78500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.07,1.11,0.91,1.09,97300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.08,1.1,1.02,1.09,33500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.07,1.11,1.02,1.09,39000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.06,1.09,0.99,0.99,39500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.99,1.14,0.98,1.06,237600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.05,1.13,1.03,1.07,18700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.05,1.11,1.03,1.08,24600
