date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.925,1.09,0.9,0.983,716100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,1.03,0.9,0.99,382600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.96,0.97,0.8,0.8,239000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.81,0.81,0.73,0.743,105900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.77,0.78,0.73,0.731,39900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.731,0.98,0.731,0.935,490500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.929,1.17,0.87,1.025,1252600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.941,0.99,0.793,0.798,283100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.887,0.78,0.792,117200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.8,0.847,0.73,0.75,183200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.79,0.793,0.727,0.744,79800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.71,0.82,0.71,0.791,165500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.786,0.82,0.73,0.785,41800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.731,0.78,0.723,0.749,41800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.749,0.769,0.723,0.75,36500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.757,0.789,0.735,0.784,31700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.751,0.813,0.75,0.806,30300
