date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.370001,20.68,20.09,20.440001,1686300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.129999,20.844999,20,20.25,1199600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.1,21.290001,19.950001,21.16,1092200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.959999,22.08,20.93,21.57,1457100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.65,22.120001,21.23,21.98,2105400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.57,22.280001,21.57,22.219999,742600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.209999,22.290001,21.67,22.08,697100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.1,22.24,21.700001,22.190001,624900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.309999,22.57,21.620001,21.639999,528400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.59,21.66,21.01,21.18,644500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.940001,21.004999,20.139999,20.389999,720100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.58,20.76,20.18,20.219999,977200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.280001,20.365,19.58,19.93,892000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.120001,20.715,19.57,19.76,1951400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.040001,20.129999,19.1,19.15,2027300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.440001,20.040001,19.25,19.629999,3084500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.91,20.440001,19.620001,19.77,1066500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.9,20.16,19.799999,19.860001,701500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.85,20.4,19.709999,20.389999,812200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.290001,20.379999,19.719999,19.75,1315700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.639999,19.690001,18.99,19.030001,1465300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.1,19.77,18.74,19.73,1235200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.5,19.809999,19.209999,19.6,2272800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.4,19.540001,19.01,19.33,1571000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.280001,19.780001,19.200001,19.52,1322700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.59,19.629999,19.139999,19.15,965000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.15,19.559999,18.885,19.299999,1156200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.5,19.66,19.254999,19.540001,1352900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.57,19.98,19.540001,19.93,993700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.23,19.52,19.01,19.309999,1663200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.74,20.482,19.59,20.4,1766400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.690001,20.84,20.17,20.35,1119400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.969999,20.025,19.209999,19.219999,1459000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.059999,19.200001,18.1,18.129999,2056400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.030001,18.24,17.83,18.120001,1875600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.370001,18.488001,18.035,18.1,912600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.07,18.49,18,18.110001,1047100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.110001,18.360001,17.885,18.059999,2239800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.200001,18.790001,18.110001,18.42,2186800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.99,19.75,17.459999,18.6,4159900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.75,19.43,18.200001,19.25,3158000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.190001,19.190001,18.27,18.360001,3331200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.440001,18.995001,18.17,18.92,2572000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.82,19.58,18.76,19.33,2135900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.52,20.01,19.299999,19.889999,1758000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.059999,20.245001,19.9,19.91,1291600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.110001,20.610001,20.059999,20.4,1083600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.41,20.91,20.365,20.57,932100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.530001,20.629999,20.110001,20.16,1036500
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.059999,20.49,19.83,19.860001,1984500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.860001,20.040001,19.030001,19.24,2008800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.030001,19.485001,18.879999,19.290001,2720600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.280001,19.473,19.049999,19.32,1077600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.17,19.35,18.934999,19.049999,1200700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.049999,19.51,19.049999,19.25,1117000
