date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.49,1.4,1.44,37500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.43,1.39,1.39,27300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.52,1.39,1.44,37300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.49,1.43,1.47,10100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.44,1.58,1.44,1.56,156200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.65,1.52,1.58,55800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.66,1.99,1.58,1.96,225300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.1,1.73,1.8,242700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.78,1.8,1.6,1.6,44700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.751,1.6,1.6,55700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.6,1.5,1.52,42400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.6,1.5,1.55,45800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.56,1.6,1.482,1.6,39100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.61,1.5,1.52,46700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.6,1.52,1.6,45400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.6,1.52,1.52,56900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.57,1.4,1.4,72800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.41,1.48,1.4,1.4,55800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.41,1.48,1.3,1.3,101900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.3,1.2,1.25,88100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.27,1.21,1.22,47000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.274,1.15,1.21,63700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.25,1.18,1.19,75900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.24,1.16,1.18,49700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.25,1.18,1.23,65300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.28,1.2,1.22,39900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.24,1.3,1.18,1.18,110300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.3,1.19,1.23,45300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.26,1.43,1.26,1.38,91400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.36,1.27,1.32,59000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.38,1.27,1.36,44700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.39,1.27,1.32,54500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.336,1.24,1.3,46900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.314,1.18,1.19,62000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.3,1.2,1.25,58800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.3,1.21,1.26,39800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.22,1.24,1.18,1.18,54000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.28,1.28,1.16,1.19,117000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.25,1.19,1.24,29300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.25,1.18,1.21,40900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.22,1.13,1.13,84500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.29,1.15,1.23,57400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.26,1.16,1.18,73400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.22,1.16,1.17,35600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.22,1.17,1.17,36600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.2,1.15,1.16,58300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.19,1.15,1.16,48000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.22,1.13,1.13,88100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.218,1.15,1.19,44900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.25,1.16,1.205,62700
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.215,1.13,1.15,63400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.19,1.13,1.17,49000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.22,1.14,1.22,50600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.13,0.913,1.07,354300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.11,0.97,1.05,75500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1.066,1,1.05,57900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1.05,0.96,0.971,108800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.95,0.97,0.901,0.913,163800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.908,1.05,0.908,0.92,180900
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.94,1.04,0.93,1.03,65900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1.06,0.96,1.02,57000
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.02,1.05,0.96,1.01,40900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1,1.07,0.99,1.01,59300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.98,1.045,0.95,0.97,75600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.97,0.98,0.951,0.975,70600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.97,0.98,0.95,0.95,54600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.94,0.97,0.94,0.97,35600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.97,0.98,0.95,0.95,47800
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.94,0.95,0.91,0.91,56300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.92,1.03,0.92,0.921,100900
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.96,0.964,0.9,0.9,83300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.91,0.97,0.88,0.898,74700
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.91,0.91,0.85,0.85,108700
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.85,0.85,0.82,0.826,72000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.83,0.86,0.82,0.826,62900
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.823,0.87,0.822,0.834,33800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.821,0.86,0.821,0.84,34400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.831,0.88,0.826,0.85,35500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.85,0.89,0.85,0.85,48000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.822,0.865,0.821,0.84,35100
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.84,0.9,0.84,0.853,51600
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.85,0.889,0.84,0.871,34300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.85,0.87,0.832,0.84,28600
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.839,0.882,0.839,0.85,37800
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.86,0.918,0.86,0.905,69600
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.9,0.918,0.87,0.871,49700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.861,0.91,0.861,0.902,46600
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.861,0.9,0.861,0.885,29200
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.87,0.899,0.839,0.839,35300
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.9,0.9,0.851,0.882,34100
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.87,0.9,0.86,0.862,74600
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.851,0.879,0.85,0.864,65100
