date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0168,0.0169,0.009,0.009,24168
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0096,0.01,0.0096,0.01,69292
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.02,0.029,0.0199,0.0202,251605
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0151,0.0223,0.0125,0.0141,46147
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0127,0.0127,0.0106,0.0106,7822
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.01,0.0151,0.01,0.0109,36627
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0155,0.0155,0.0109,0.0109,8150
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0102,0.0102,0.0101,0.0101,11643
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0148,0.0148,0.0101,0.0102,66389
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0138,0.0139,0.0103,0.0103,2756
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0149,0.015,0.0091,0.0108,32806
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0108,0.0108,0.0108,0.0108,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.01,0.01,0.009,0.009,420
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.01,0.01,0.01,0.01,1000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.01,0.01,0.0097,0.0097,3175
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.009,0.01,0.0081,0.0091,5025
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0091,0.0091,0.0076,0.0084,94087
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0145,0.0146,0.0085,0.009,17792
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.01,0.0161,0.0089,0.009,802485
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0124,0.01249,0.0088,0.0123,23488
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0089,0.0089,0.0088,0.0088,3915
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.0088,0.0088,0.0088,0.0088,0
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.0088,0.0088,0.0088,0.0088,0
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.0088,0.0088,0.0088,0.0088,0
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.0088,0.0088,0.0088,0.0088,0
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.0088,0.0088,0.0088,0.0088,0
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.0088,0.0088,0.0088,0.0088,0
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.0088,0.0088,0.0088,0.0088,0
