date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.440001,25.5,25.299999,25.32,6600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.5,25.74,25.48,25.74,1700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.68,25.68,25.440001,25.440001,8600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.610001,25.65,25.59,25.59,1700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.610001,25.610001,25.379999,25.379999,16900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.49,25.49,25.299999,25.379999,17500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.48,25.530001,25.4,25.52,15500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.4,25.469999,25.35,25.4,13300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.459999,25.52,25.35,25.42,9800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.459999,25.639999,25.450001,25.629999,9700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.549999,25.549999,25.440001,25.49,11000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.5,25.51,25.370001,25.41,11100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.43,25.5,25.370001,25.5,5700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.549999,25.780001,25.549999,25.780001,21000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.780001,25.809999,25.65,25.790001,5400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.780001,25.809999,25.549999,25.809999,1800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.82,25.82,25.75,25.809999,1800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.870001,25.91,25.76,25.9,2200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.799999,25.959999,25.74,25.959999,5100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.059999,26.059999,25.74,25.889999,1800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.74,26.040001,25.66,25.85,14400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26,26,25.6,25.65,7300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.700001,25.719999,25.58,25.690001,9200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.719999,25.719999,25.65,25.67,1900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.68,25.68,25.6,25.639999,5800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,25.6,25.4,25.42,11400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,25.6,25.4,25.469999,13100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.58,25.58,25.469999,25.52,6100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.620001,25.620001,25.5,25.5,6500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.5,25.75,25.5,25.75,4700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.549999,25.68,25.549999,25.57,3800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.58,25.6,25.559999,25.6,4200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,25.65,25.559999,25.620001,2400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,25.66,25.57,25.58,5500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.879999,25.879999,25.5,25.610001,11000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.65,25.85,25.65,25.790001,89600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.85,25.85,25.76,25.85,2100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.84,25.85,25.719999,25.75,2400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.77,25.85,25.66,25.66,9400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.66,25.75,25.65,25.68,7600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.360001,25.85,25.219999,25.25,13600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.25,25.290001,25.24,25.25,5000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.280001,25.4,25.25,25.35,6200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.35,25.35,25.24,25.26,7800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.299999,25.389999,25.200001,25.200001,13500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.17,25.35,25.17,25.299999,4200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.23,25.23,25.23,25.23,200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.26,25.6,25.26,25.4,21600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.379999,25.379999,25.299999,25.370001,3300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.26,25.450001,25.26,25.450001,4800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.41,25.41,25.25,25.360001,8500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.389999,25.389999,25.299999,25.33,4000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.389999,25.440001,25.370001,25.440001,10900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.440001,25.440001,25.33,25.33,2400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.530001,25.540001,25.34,25.450001,4100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.43,25.43,25.41,25.42,5000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.41,25.5,25.41,25.43,8600
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.41,25.5,25.360001,25.450001,8800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.440001,25.49,25.43,25.450001,5800
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.370001,25.530001,25.35,25.360001,5300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.549999,25.549999,25.35,25.41,10800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.459999,25.35,25.35,2600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.370001,25.450001,25.35,25.450001,8900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.5,25.639999,25.5,25.58,9600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.51,25.41,25.51,1200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.43,25.43,25.43,25.43,900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.5,25.41,25.5,10300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.639999,25.41,25.52,3400
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.51,25.58,25.469999,25.58,2100
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.66,25.68,25.549999,25.549999,2200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.459999,25.6,25.459999,25.6,900
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.469999,25.57,25.469999,25.57,900
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.629999,25.629999,25.469999,25.58,2300
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.59,25.59,25.52,25.559999,1500
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.65,25.65,25.6,25.6,600
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.6,25.67,25.5,25.67,8600
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.690001,25.690001,25.51,25.530001,3400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.549999,25.57,25.549999,25.559999,1500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.559999,25.6,25.52,25.57,3300
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.549999,25.6,25.5,25.52,4300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.6,25.620001,25.549999,25.6,5400
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.530001,25.76,25.530001,25.75,11000
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.58,25.799999,25.549999,25.549999,3700
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.57,25.799999,25.559999,25.73,8900
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.610001,25.73,25.6,25.610001,3400
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.65,25.719999,25.65,25.66,3500
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.610001,25.709999,25.610001,25.709999,2900
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.709999,25.799999,25.629999,25.709999,5700
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.709999,25.709999,25.709999,25.709999,0
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.68,25.799999,25.67,25.75,4000
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.780001,25.799999,25.74,25.76,2700
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.709999,25.799999,25.629999,25.700001,7900
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.76,25.799999,25.73,25.75,2700
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.77,25.790001,25.77,25.780001,2400
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.799999,25.799999,25.690001,25.780001,6400
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.75,25.780001,25.620001,25.76,15500
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.74,25.780001,25.629999,25.690001,15100
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.66,25.780001,25.65,25.74,18200
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.74,25.870001,25.74,25.83,5300
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.790001,25.84,25.790001,25.84,2400
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.84,25.870001,25.84,25.870001,500
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.799999,25.82,25.700001,25.780001,2600
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.77,25.85,25.77,25.780001,3000
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.860001,25.870001,25.73,25.83,8000
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.25,25.549999,25.23,25.23,16800
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.33,25.360001,25.27,25.27,4900
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.32,25.379999,25.27,25.32,4200
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.32,25.43,25.27,25.43,12900
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.440001,25.52,25.42,25.459999,14200
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.49,25.5,25.440001,25.48,2900
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.540001,25.540001,25.469999,25.469999,700
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.41,25.450001,25.379999,25.440001,6000
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.42,25.5,25.360001,25.370001,9500
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.49,25.49,25.35,25.360001,5400
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.35,25.370001,25.299999,25.34,6500
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.35,25.389999,25.309999,25.309999,5800
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.34,25.389999,25.299999,25.33,18900
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.389999,25.4,25.299999,25.379999,18900
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.4,25.450001,25.370001,25.450001,11000
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.4,25.450001,25.379999,25.379999,6500
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.360001,25.440001,25.34,25.4,12100
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.34,25.4,25.34,25.34,7300
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.4,25.459999,25.309999,25.4,6500
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.389999,25.469999,25.34,25.370001,8800
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.42,25.42,25.35,25.35,1600
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.4,25.5,25.4,25.5,3000
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.5,25.540001,25.49,25.540001,1400
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.540001,25.799999,25.540001,25.799999,13700
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.799999,25.799999,25.620001,25.75,3800
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.73,25.790001,25.65,25.76,2400
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.629999,25.870001,25.629999,25.870001,3300
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.780001,25.879999,25.709999,25.74,8400
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.65,25.879999,25.65,25.799999,4900
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.889999,25.9,25.780001,25.780001,11100
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.780001,25.889999,25.780001,25.889999,4300
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.889999,25.92,25.84,25.91,12100
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.809999,25.98,25.799999,25.799999,7800
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.889999,25.889999,25.799999,25.83,4600
Mon Jul 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.74,25.99,25.709999,25.83,13300
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.700001,25.93,25.700001,25.75,7600
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.752001,25.752001,25.752001,25.752001,257
